sample,time,code,chan,trialIdx,trialRawTmin.sample,trialRawTmin.time,trialRawT0.sample,trialRawT0.time,trialRawTmax.sample,trialRawTmax.time
10137,9.5986328125,350,1,20,370950,362.255859375,371258,362.556640625,384570,375.556640625
10186,9.646484375,351,1,20,370950,362.255859375,371258,362.556640625,384570,375.556640625
10208,9.66796875,350,1,20,370950,362.255859375,371258,362.556640625,384570,375.556640625
10411,9.8662109375,103,-1,20,370950,362.255859375,371258,362.556640625,384570,375.556640625
10466,9.919921875,351,1,20,370950,362.255859375,371258,362.556640625,384570,375.556640625
308,0.0,12,-1,21,389390,380.263671875,389698,380.564453125,403010,393.564453125
1332,1.0,1,-1,21,389390,380.263671875,389698,380.564453125,403010,393.564453125
1772,1.4296875,350,0,21,389390,380.263671875,389698,380.564453125,403010,393.564453125
1863,1.5185546875,351,0,21,389390,380.263671875,389698,380.564453125,403010,393.564453125
2172,1.8203125,350,0,21,389390,380.263671875,389698,380.564453125,403010,393.564453125
2189,1.8369140625,351,0,21,389390,380.263671875,389698,380.564453125,403010,393.564453125
2252,1.8984375,350,0,21,389390,380.263671875,389698,380.564453125,403010,393.564453125
2269,1.9150390625,351,0,21,389390,380.263671875,389698,380.564453125,403010,393.564453125
3264,2.88671875,350,0,21,389390,380.263671875,389698,380.564453125,403010,393.564453125
3297,2.9189453125,351,0,21,389390,380.263671875,389698,380.564453125,403010,393.564453125
4078,3.681640625,350,0,21,389390,380.263671875,389698,380.564453125,403010,393.564453125
4127,3.7294921875,351,0,21,389390,380.263671875,389698,380.564453125,403010,393.564453125
4557,4.1494140625,350,1,21,389390,380.263671875,389698,380.564453125,403010,393.564453125
4579,4.1708984375,351,1,21,389390,380.263671875,389698,380.564453125,403010,393.564453125
8503,8.0029296875,112,-1,21,389390,380.263671875,389698,380.564453125,403010,393.564453125
9160,8.64453125,350,0,21,389390,380.263671875,389698,380.564453125,403010,393.564453125
9332,8.8125,101,-1,21,389390,380.263671875,389698,380.564453125,403010,393.564453125
9391,8.8701171875,351,0,21,389390,380.263671875,389698,380.564453125,403010,393.564453125
308,0.0,12,-1,22,406762,397.228515625,407070,397.529296875,420382,410.529296875
1332,1.0,1,-1,22,406762,397.228515625,407070,397.529296875,420382,410.529296875
6603,6.1474609375,350,1,22,406762,397.228515625,407070,397.529296875,420382,410.529296875
6664,6.20703125,351,1,22,406762,397.228515625,407070,397.529296875,420382,410.529296875
6803,6.3427734375,350,1,22,406762,397.228515625,407070,397.529296875,420382,410.529296875
6860,6.3984375,351,1,22,406762,397.228515625,407070,397.529296875,420382,410.529296875
