sample,time,code,chan,trialIdx
1357828,1326.00390625,350,1,67
1358006,1326.177734375,103,-1,67
1358030,1326.201171875,351,1,67
1370440,1338.3203125,13,-1,68
1371464,1339.3203125,1,-1,68
1378635,1346.3232421875,113,-1,68
1379779,1347.4404296875,350,0,68
1379832,1347.4921875,351,0,68
1379892,1347.55078125,350,0,68
1380096,1347.75,101,-1,68
1380117,1347.7705078125,351,0,68
1392550,1359.912109375,16,-1,69
1392724,1360.08203125,350,1,69
1392757,1360.1142578125,351,1,69
1393574,1360.912109375,1,-1,69
1393927,1361.2568359375,350,1,69
1393985,1361.3134765625,351,1,69
1394090,1361.416015625,350,1,69
1394103,1361.4287109375,351,1,69
1394178,1361.501953125,350,1,69
1394199,1361.5224609375,351,1,69
1400744,1367.9140625,116,-1,69
1400962,1368.126953125,350,1,69
1400992,1368.15625,351,1,69
1401007,1368.1708984375,350,1,69
1401037,1368.2001953125,351,1,69
1401067,1368.2294921875,350,1,69
1401284,1368.44140625,103,-1,69
1401330,1368.486328125,351,1,69
1413711,1380.5771484375,13,-1,70
1414735,1381.5771484375,1,-1,70
1421905,1388.5791015625,113,-1,70
1422684,1389.33984375,350,0,70
1422743,1389.3974609375,351,0,70
1422787,1389.4404296875,350,0,70
1422825,1389.4775390625,351,0,70
1422840,1389.4921875,350,0,70
1422891,1389.5419921875,351,0,70
1422985,1389.6337890625,350,0,70
1423053,1389.7001953125,351,0,70
1423085,1389.7314453125,350,0,70
1423292,1389.93359375,351,0,70
1423308,1389.94921875,350,0,70
1423501,1390.1376953125,101,-1,70
1423525,1390.1611328125,351,0,70
1435950,1402.294921875,16,-1,71
1436974,1403.294921875,1,-1,71
1444095,1410.2490234375,350,1,71
1444136,1410.2890625,351,1,71
1444144,1410.296875,116,-1,71
1444561,1410.7041015625,350,1,71
1444836,1410.97265625,103,-1,71
1444881,1411.0166015625,351,1,71
1457264,1423.109375,16,-1,72
1458235,1424.0576171875,350,0,72
1458288,1424.109375,1,-1,72
1458310,1424.130859375,351,0,72
1458612,1424.42578125,350,0,72
1458658,1424.470703125,351,0,72
1465458,1431.111328125,116,-1,72
1465977,1431.6181640625,350,1,72
1466214,1431.849609375,103,-1,72
1466234,1431.869140625,351,1,72
1478652,1443.99609375,13,-1,73
1479676,1444.99609375,1,-1,73
1486845,1451.9970703125,113,-1,73
1486997,1452.1455078125,350,0,73
1487085,1452.2314453125,351,0,73
1487107,1452.2529296875,350,0,73
1487370,1452.509765625,101,-1,73
1487390,1452.529296875,351,0,73
1499812,1464.66015625,16,-1,74
1500835,1465.6591796875,1,-1,74
1507995,1472.6513671875,350,1,74
1508006,1472.662109375,116,-1,74
1508082,1472.736328125,351,1,74
1508119,1472.7724609375,350,1,74
